Modified Date: 2022-06-03 23:33 UTC,,,,,,,,,,,,,,,,,,
disclaimer_EN,,,,,,,,,,,,,,,,,,
Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
SUNNYDALE,YUKON TERRITORY,2101062,1603,,,64.05,-139.47,640300000,-1392800000,335,1984,1986,,,1984,1986,1984,1986
SWEDE CREEK,YUKON TERRITORY,2101070,1604,,,64.1,-139.75,640600000,-1394500000,320,1918,1929,,,1918,1929,1918,1929
SWIFT RIVER,YUKON TERRITORY,2101081,1605,,,60,-131.18,600000000,-1311100000,891.2,1966,2008,,,1966,2008,1966,2007
TAGISH,YUKON TERRITORY,2101089,1606,,,60.3,-134.27,601800000,-1341600000,658.4,1979,1984,,,1979,1984,1979,1984
TAGISH TOWER,YUKON TERRITORY,2101093,1607,,,60.27,-134.18,601600000,-1341100000,1219.2,1976,1976,,,1976,1976,1976,1976
TAKHINI RIVER RANCH,YUKON TERRITORY,2101095,1608,,,60.95,-135.57,605645000,-1353423000,671,1980,2022,,,1980,2022,1980,2007
TESLIN,YUKON TERRITORY,2101099,1609,,,60.17,-132.75,601000000,-1324500000,705,1980,1984,,,1980,1984,1980,1984
TESLIN (AUT),YUKON TERRITORY,2101102,8985,71045,WZW,60.17,-132.73,601000000,-1324400000,705,1992,2022,1994,2022,1992,2022,2001,2007
TESLIN A,YUKON TERRITORY,2101100,1610,,YZW,60.17,-132.74,601026900,-1324409200,705,1943,2014,1953,2014,1943,2014,1943,2006
TESLIN A,YUKON TERRITORY,2101101,52321,,YZW,60.17,-132.74,601023000,-1324430000,705,2014,2022,2014,2022,,,,
TESLIN A,YUKON TERRITORY,2101106,53027,,YZW,60.17,-132.74,601023000,-1324430000,705,2014,2022,2014,2022,2018,2022,,
TOM CREEK TOWER,YUKON TERRITORY,2101125,1611,,,60.28,-128.98,601700000,-1285900000,944.9,1974,1976,,,1974,1976,1976,1976
TRANSPORT TOWER,YUKON TERRITORY,2101130,1612,,,60.17,-130,601000000,-1300000000,1432.6,1974,1976,,,1974,1976,1976,1976
TUCHITUA,YUKON TERRITORY,2101135,1613,,,60.93,-129.22,605600000,-1291300000,723.9,1967,2014,,,1967,2014,1967,2007
TWO PETE CREEK,YUKON TERRITORY,2101138,1614,,,62.63,-133.7,623800000,-1334200000,960.1,1979,1984,,,1979,1984,1979,1984
WATSON LAKE (AUT),YUKON TERRITORY,2101204,32293,71199,XQH,60.12,-128.83,600657020,-1284955020,683.3,2002,2022,2005,2022,2002,2022,,
WATSON LAKE A,YUKON TERRITORY,2101200,1615,71953,YQH,60.12,-128.82,600659400,-1284920400,687.35,1938,2014,1953,2014,1938,2014,1938,2014
WATSON LAKE A,YUKON TERRITORY,2101201,53339,,YQH,60.12,-128.82,600659000,-1284921000,687.3,2014,2022,2014,2022,2018,2022,,
WATSON LAKE A,YUKON TERRITORY,2101202,54198,,YQH,60.12,-128.82,600659000,-1284921000,687.3,2016,2022,2016,2022,2018,2022,,
WATSON LAKE YTG,YUKON TERRITORY,2101222,10983,,,60.07,-128.72,600400000,-1284300000,701,1994,1995,,,1994,1995,1994,1995
WHITEHORSE,YUKON TERRITORY,2101290,1616,,,60.72,-135.05,604300000,-1350300000,636.1,1900,1960,,,1900,1960,1904,1942
WHITEHORSE A,YUKON TERRITORY,2101300,1617,71964,YXY,60.71,-135.07,604234200,-1350407800,706.2,1942,2012,1953,2012,1942,2012,1942,2007
WHITEHORSE A,YUKON TERRITORY,2101303,50842,71964,YXY,60.71,-135.07,604234000,-1350402000,706.2,2012,2022,2012,2022,2012,2022,,
WHITEHORSE AUTO,YUKON TERRITORY,2101310,48168,71773,VXY,60.73,-135.1,604359000,-1350552000,707,2009,2022,2009,2022,2009,2022,,
WHITEHORSE RIVERDALE,YUKON TERRITORY,2101400,1618,,,60.71,-135.03,604236000,-1350138000,640.08,1959,2012,,,1959,2012,1972,2007
WHITEHORSE WSO,YUKON TERRITORY,2101415,26988,,WXY,60.73,-135.08,604400000,-1350500000,706.9,1996,1998,,,1996,1998,1996,1998
WOLF CREEK,YUKON TERRITORY,2101600,1619,,,60.58,-134.95,603500000,-1345700000,746.8,1969,1974,,,1969,1974,1969,1973
WOLF CREEK,YUKON TERRITORY,2101601,1620,,,60.5,-134.95,603000000,-1345700000,762,1985,1989,,,1985,1989,1985,1989
